short_name,height_cm,,,,,,,,,,,,,,,,,,,,,,,
Borja Iglesias,187,,,,,,,,,,,,,,,,,,,,,,,
K. Casteels,197,,,,,,,,,,,,,,,,,,,,,,,
W. Zaha,180,,,,,,,,,,,,,,,,,,,,,,,
Paco Alcácer,175,,,,,,,,,,,,,,,,,,,,,,,
Morata,189,,,,,,,,,,,,,,,,,,,,,,,
S. Haller,190,,,,,,,,,,,,,,,,,,,,,,,
William Carvalho,187,,,,,,,,,,,,,,,,,,,,,,,
F. Bernardeschi,185,,,,,,,,,,,,,,,,,,,,,,,
D. Djené,178,,,,,,,,,,,,,,,,,,,,,,,
Oscar,181,,,,,,,,,,,,,,,,,,,,,,,
K. Trapp,189,,,,,,,,,,,,,,,,,,,,,,,
Bartra,184,,,,,,,,,,,,,,,,,,,,,,,
Pablo Sarabia,174,,,,,,,,,,,,,,,,,,,,,,,
J. Cillessen,185,,,,,,,,,,,,,,,,,,,,,,,
Lucas Moura,174,,,,,,,,,,,,,,,,,,,,,,,
F. Thauvin,179,,,,,,,,,,,,,,,,,,,,,,,
Jorginho,180,,,,,,,,,,,,,,,,,,,,,,,
G. Buffon,192,,,,,,,,,,,,,,,,,,,,,,,
Casillas,185,,,,,,,,,,,,,,,,,,,,,,,
R. Jarstein,190,,,,,,,,,,,,,,,,,,,,,,,
V. Kompany,190,,,,,,,,,,,,,,,,,,,,,,,
Raúl Albiol,190,,,,,,,,,,,,,,,,,,,,,,,
F. Quagliarella,180,,,,,,,,,,,,,,,,,,,,,,,
K. Schmeichel,189,,,,,,,,,,,,,,,,,,,,,,,
Falcao,177,,,,,,,,,,,,,,,,,,,,,,,
Miranda,186,,,,,,,,,,,,,,,,,,,,,,,
C. Vela,177,,,,,,,,,,,,,,,,,,,,,,,
E. Garay,189,,,,,,,,,,,,,,,,,,,,,,,
Rui Patrício,190,,,,,,,,,,,,,,,,,,,,,,,
R. Nainggolan,176,,,,,,,,,,,,,,,,,,,,,,,
E. Banega,174,,,,,,,,,,,,,,,,,,,,,,,
Diego Costa,188,,,,,,,,,,,,,,,,,,,,,,,
S. Khedira,189,,,,,,,,,,,,,,,,,,,,,,,
David Luiz,189,,,,,,,,,,,,,,,,,,,,,,,
M. Kruse,180,,,,,,,,,,,,,,,,,,,,,,,
J. Henderson,182,,,,,,,,,,,,,,,,,,,,,,,
G. Sigurðsson,186,,,,,,,,,,,,,,,,,,,,,,,
A. Ramsey,183,,,,,,,,,,,,,,,,,,,,,,,
Illarramendi,179,,,,,,,,,,,,,,,,,,,,,,,
D. Blind,180,,,,,,,,,,,,,,,,,,,,,,,
L. Hrádecký,192,,,,,,,,,,,,,,,,,,,,,,,
N. Otamendi,183,,,,,,,,,,,,,,,,,,,,,,,
J. Cuadrado,179,,,,,,,,,,,,,,,,,,,,,,,
I. Gueye,174,,,,,,,,,,,,,,,,,,,,,,,
K. Kampl,178,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo,182,,,,,,,,,,,,,,,,,,,,,,,
C. Aránguiz,171,,,,,,,,,,,,,,,,,,,,,,,
W. Ben Yedder,170,,,,,,,,,,,,,,,,,,,,,,,
F. Acerbi,192,,,,,,,,,,,,,,,,,,,,,,,
Danilo Pereira,188,,,,,,,,,,,,,,,,,,,,,,,
A. Kramarić,177,,,,,,,,,,,,,,,,,,,,,,,
Louri Beretta,188,,,,,,,,,,,,,,,,,,,,,,,
Josué Chiamulera,185,,,,,,,,,,,,,,,,,,,,,,,
Ronaldo Cabrais,177,,,,,,,,,,,,,,,,,,,,,,,
Oyarzabal,181,,,,,,,,,,,,,,,,,,,,,,,
L. Bailey,178,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Jesus,175,,,,,,,,,,,,,,,,,,,,,,,
M. Kovačić,176,,,,,,,,,,,,,,,,,,,,,,,
A. Belotti,181,,,,,,,,,,,,,,,,,,,,,,,
T. Strakosha,193,,,,,,,,,,,,,,,,,,,,,,,
N. Keïta,172,,,,,,,,,,,,,,,,,,,,,,,
L. Torreira,168,,,,,,,,,,,,,,,,,,,,,,,
Rúben Neves,180,,,,,,,,,,,,,,,,,,,,,,,
P. Kimpembe,189,,,,,,,,,,,,,,,,,,,,,,,
S. Bergwijn,178,,,,,,,,,,,,,,,,,,,,,,,
A. Onana,187,,,,,,,,,,,,,,,,,,,,,,,
Nélson Semedo,177,,,,,,,,,,,,,,,,,,,,,,,
A. Areola,195,,,,,,,,,,,,,,,,,,,,,,,
M. Perin,188,,,,,,,,,,,,,,,,,,,,,,,
D. Rugani,190,,,,,,,,,,,,,,,,,,,,,,,
A. Correa,171,,,,,,,,,,,,,,,,,,,,,,,
Iñaki Williams,186,,,,,,,,,,,,,,,,,,,,,,,
H. Lozano,175,,,,,,,,,,,,,,,,,,,,,,,
Gelson Martins,173,,,,,,,,,,,,,,,,,,,,,,,
B. Lecomte,186,,,,,,,,,,,,,,,,,,,,,,,
T. Partey,185,,,,,,,,,,,,,,,,,,,,,,,
K. Demirbay,182,,,,,,,,,,,,,,,,,,,,,,,
J. Matip,194,,,,,,,,,,,,,,,,,,,,,,,
Suso,176,,,,,,,,,,,,,,,,,,,,,,,
S. Savić,187,,,,,,,,,,,,,,,,,,,,,,,
A. Rüdiger,190,,,,,,,,,,,,,,,,,,,,,,,
Pacheco,186,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Pereira,175,,,,,,,,,,,,,,,,,,,,,,,
N. Tagliafico,172,,,,,,,,,,,,,,,,,,,,,,,
David Soria,192,,,,,,,,,,,,,,,,,,,,,,,
Sergio Asenjo,189,,,,,,,,,,,,,,,,,,,,,,,
Muniain,170,,,,,,,,,,,,,,,,,,,,,,,
M. Götze,176,,,,,,,,,,,,,,,,,,,,,,,
T. Delaney,182,,,,,,,,,,,,,,,,,,,,,,,
O. Baumann,187,,,,,,,,,,,,,,,,,,,,,,,
Willian José,189,,,,,,,,,,,,,,,,,,,,,,,
Sergi Roberto,178,,,,,,,,,,,,,,,,,,,,,,,
N. Schulz,181,,,,,,,,,,,,,,,,,,,,,,,
K. Volland,179,,,,,,,,,,,,,,,,,,,,,,,
Nacho Fernández,180,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Paulista,187,,,,,,,,,,,,,,,,,,,,,,,
J. Roussillon,175,,,,,,,,,,,,,,,,,,,,,,,
H. Maguire,194,,,,,,,,,,,,,,,,,,,,,,,
T. Hazard,175,,,,,,,,,,,,,,,,,,,,,,,
E. Forsberg,179,,,,,,,,,,,,,,,,,,,,,,,
F. Kostić,184,,,,,,,,,,,,,,,,,,,,,,,
M. Politano,171,,,,,,,,,,,,,,,,,,,,,,,
Rafa,172,,,,,,,,,,,,,,,,,,,,,,,
Pepe Reina,188,,,,,,,,,,,,,,,,,,,,,,,
D. De Rossi,184,,,,,,,,,,,,,,,,,,,,,,,
Aduriz,182,,,,,,,,,,,,,,,,,,,,,,,
Jesús Navas,170,,,,,,,,,,,,,,,,,,,,,,,
Santi Cazorla,168,,,,,,,,,,,,,,,,,,,,,,,
H. Herrera,185,,,,,,,,,,,,,,,,,,,,,,,
L. Biglia,178,,,,,,,,,,,,,,,,,,,,,,,
L. Fabiański,190,,,,,,,,,,,,,,,,,,,,,,,
E. Viviano,195,,,,,,,,,,,,,,,,,,,,,,,
Juan Mata,170,,,,,,,,,,,,,,,,,,,,,,,
O. Giroud,193,,,,,,,,,,,,,,,,,,,,,,,
S. Kjær,191,,,,,,,,,,,,,,,,,,,,,,,
Willian,175,,,,,,,,,,,,,,,,,,,,,,,
V. Ćorluka,192,,,,,,,,,,,,,,,,,,,,,,,
M. Arnautović,192,,,,,,,,,,,,,,,,,,,,,,,
A. Sánchez,169,,,,,,,,,,,,,,,,,,,,,,,
Giuliano,172,,,,,,,,,,,,,,,,,,,,,,,
A. Kolarov,187,,,,,,,,,,,,,,,,,,,,,,,
M. Balotelli,189,,,,,,,,,,,,,,,,,,,,,,,
Marlos,174,,,,,,,,,,,,,,,,,,,,,,,
Taison,172,,,,,,,,,,,,,,,,,,,,,,,
B. Dost,196,,,,,,,,,,,,,,,,,,,,,,,
G. Bonaventura,181,,,,,,,,,,,,,,,,,,,,,,,
Pedro,169,,,,,,,,,,,,,,,,,,,,,,,
L. de Jong,188,,,,,,,,,,,,,,,,,,,,,,,
S. El Shaarawy,178,,,,,,,,,,,,,,,,,,,,,,,
Ander Herrera,182,,,,,,,,,,,,,,,,,,,,,,,
X. Shaqiri,169,,,,,,,,,,,,,,,,,,,,,,,
Mário Fernandes,187,,,,,,,,,,,,,,,,,,,,,,,
S. Coates,196,,,,,,,,,,,,,,,,,,,,,,,
C. Bakambu,182,,,,,,,,,,,,,,,,,,,,,,,
T. Meunier,191,,,,,,,,,,,,,,,,,,,,,,,
K. Bellarabi,184,,,,,,,,,,,,,,,,,,,,,,,
J. Lingard,175,,,,,,,,,,,,,,,,,,,,,,,
Q. Promes,174,,,,,,,,,,,,,,,,,,,,,,,
J. Vardy,179,,,,,,,,,,,,,,,,,,,,,,,
D. Zapata,189,,,,,,,,,,,,,,,,,,,,,,,
Morales,180,,,,,,,,,,,,,,,,,,,,,,,
Raphaelito Anjos,190,,,,,,,,,,,,,,,,,,,,,,,
Juiano Mestres,181,,,,,,,,,,,,,,,,,,,,,,,
Rosberto Dourado,175,,,,,,,,,,,,,,,,,,,,,,,
E. Schetino,185,,,,,,,,,,,,,,,,,,,,,,,
J. Sildero,177,,,,,,,,,,,,,,,,,,,,,,,
L. Martínez,174,,,,,,,,,,,,,,,,,,,,,,,
H. Aouar,175,,,,,,,,,,,,,,,,,,,,,,,
T. Ndombele,181,,,,,,,,,,,,,,,,,,,,,,,
